Problem,Solution
🍎 + 🍎 + 🍎 = 12,🍎 = 4
🍌 + 🍌 = 6,🍌 = 3
🥕 + 🥕 + 🥕 = 15,🥕 = 5
🐶 + 🐶 = 8,🐶 = 4
🍕 + 🍕 + 🍕 + 🍕 = 20,🍕 = 5
🍓 + 🍓 = 10,🍓 = 5
🏀 + 🏀 + 🏀 = 30,🏀 = 10
🎸 + 🎸 = 14,🎸 = 7
🦄 + 🦄 = 16,🦄 = 8
🎈 + 🎈 + 🎈 + 🎈 = 40,🎈 = 10
🌟 + 🌟 = 20,🌟 = 10
🎁 + 🎁 + 🎁 = 18,🎁 = 6
🎩 + 🎩 = 22,🎩 = 11
🚲 + 🚲 = 12,🚲 = 6
🏆 + 🏆 + 🏆 = 9,🏆 = 3
🦊 + 🦊 = 14,🦊 = 7
🏡 + 🏡 + 🏡 = 21,🏡 = 7
🦁 + 🦁 = 18,🦁 = 9
🎮 + 🎮 + 🎮 + 🎮 = 32,🎮 = 8
🚀 + 🚀 = 24,🚀 = 12
🦒 + 🦒 = 10,🦒 = 5
🍔 + 🍔 = 14,🍔 = 7
🐼 + 🐼 = 20,🐼 = 10
🔥 + 🔥 + 🔥 = 27,🔥 = 9
🚗 + 🚗 = 16,🚗 = 8
🎤 + 🎤 = 8,🎤 = 4
🏹 + 🏹 + 🏹 = 15,🏹 = 5
🥑 + 🥑 = 10,🥑 = 5
🌈 + 🌈 + 🌈 = 18,🌈 = 6
🐦 + 🐦 = 12,🐦 = 6
